teamA,teamB,seedA,seedB,Seed_diff,W-L%_diff,SRS_diff,SOS_diff,Tm._diff,Opp._diff,MP_diff,FG_diff,FGA_diff,FG%_diff,3P_diff,3PA_diff,3P%_diff,FT_diff,FTA_diff,FT%_diff,ORB_diff,TRB_diff,AST_diff,STL_diff,BLK_diff,TOV_diff,PF_diff,seed_diff,winner
Texas Southern,FDU,16,16,0,-0.16799999999999993,-1.58,4.78,-441,-226,-65,-151,-217,-0.025000000000000022,-139,-288,-0.06799999999999995,0,83,-0.08799999999999997,-22,42,-133,-60,42,86,-39,0,0
Arizona St.,Nevada,11,11,0,-0.028000000000000025,1.2799999999999994,1.7699999999999996,162,209,110,111,369,-0.02400000000000002,36,173,-0.02899999999999997,-96,-33,-0.10300000000000009,150,214,41,58,70,83,76,0,1
Texas A&M-CC,SE Missouri St.,16,16,0,0.15800000000000003,4.83,-0.20999999999999996,14,-173,-55,13,-39,0.014000000000000012,-18,-139,0.03699999999999998,6,-79,0.08300000000000007,78,44,39,45,-55,-23,-102,0,1
Pittsburgh,Mississippi St.,11,11,0,0.049000000000000044,-0.8399999999999999,-1.4900000000000002,470,437,60,114,145,0.026000000000000023,147,234,0.09399999999999997,95,29,0.11199999999999999,-76,13,24,-108,30,-34,68,0,1
North Kentucky,Houston,16,1,15,-0.263,-23.029999999999998,-7.68,-398,98,-55,-159,-206,-0.03200000000000003,-1,-8,0.0020000000000000018,-79,-80,-0.03700000000000003,-80,-305,-76,36,-93,25,-83,15,0
Iowa,Auburn,8,9,-1,-0.04200000000000004,-0.2699999999999996,-0.5999999999999996,168,162,-30,66,86,0.014000000000000012,44,78,0.025000000000000022,-8,-52,0.04200000000000004,2,-24,62,-47,-60,-89,-167,-1,0
Drake,Miami FL,12,5,7,-0.013000000000000012,-6.140000000000001,-7.9799999999999995,-308,-425,-55,-106,-173,-0.01100000000000001,0,-4,0.0020000000000000018,-96,-110,-0.017000000000000015,-106,-35,-57,-83,-23,-43,-5,7,0
Indiana,Kent St.,4,13,-9,-0.14300000000000002,7.409999999999999,10.100000000000001,-49,99,0,37,-84,0.035999999999999976,-75,-274,0.03199999999999997,-48,-54,-0.015000000000000013,-65,1,101,-106,39,4,-60,-9,1
Pittsburgh,Iowa St.,11,6,5,0.09100000000000008,-4.77,-5.19,473,443,110,96,199,0.0040000000000000036,114,266,0.02899999999999997,167,159,0.08899999999999997,-16,190,49,-105,51,-27,-48,5,1
Xavier,Kennesaw St.,3,14,-11,-0.013000000000000012,15.430000000000001,11.22,369,326,70,178,235,0.030999999999999972,-12,-80,0.025000000000000022,25,-15,0.04899999999999993,43,162,203,-40,24,25,-38,-11,1
Penn St.,Texas A&M,10,7,3,-0.09199999999999997,-0.7200000000000006,1.5999999999999996,124,197,105,143,179,0.031000000000000028,168,329,0.061,-330,-423,-0.020000000000000018,-208,-83,69,-74,-3,-98,-65,3,1
Colgate,Texas,15,2,13,-0.020000000000000018,-18.36,-16.29,-230,-152,-135,-41,-251,0.038000000000000034,12,-81,0.05600000000000005,-160,-150,-0.08699999999999997,-87,-117,23,-51,-36,-82,-225,13,0
Kansas,Howard,1,16,-15,0.14900000000000002,24.24,16.98,81,-92,45,68,104,0.010000000000000009,-31,-30,-0.027000000000000024,-24,-40,0.007000000000000006,-54,42,67,65,30,-129,-17,-15,1
Arkansas,Illinois,8,9,-1,0.0050000000000000044,1.1799999999999997,2.219999999999999,214,230,110,87,117,0.017000000000000015,-72,-243,0.0050000000000000044,112,143,0.018999999999999906,7,24,53,73,-4,32,135,-1,1
VCU,Saint Mary's,12,5,7,0.0,-7.52,-5.2299999999999995,7,97,-15,-24,-85,0.008000000000000007,-51,-110,-0.017000000000000015,106,151,0.0020000000000000018,-47,-75,20,72,38,95,-4,7,0
Iona,UConn,13,4,9,-0.02400000000000002,-15.34,-11.27,-404,-204,-155,-103,-198,-0.0050000000000000044,-106,-290,-0.0010000000000000009,-94,-100,-0.029000000000000026,-118,-289,-164,16,2,-136,-124,9,0
TCU,Arizona St.,6,11,-5,-0.010000000000000009,4.32,0.5999999999999996,75,-52,-50,55,-35,0.03200000000000003,-77,-215,-0.01200000000000001,42,50,0.010000000000000009,7,-61,50,26,-4,-6,-90,-5,1
Grand Canyon,Gonzaga,14,3,11,-0.17099999999999993,-14.559999999999999,-6.77,-481,-294,-35,-255,-264,-0.059,44,106,0.0040000000000000036,-15,-46,0.02300000000000002,-19,-59,-150,-91,-12,33,35,11,0
Boise St.,Northwestern,10,7,3,0.05899999999999994,-0.9000000000000004,-2.500000000000001,148,64,5,77,-30,0.04600000000000004,6,-74,0.04099999999999998,-12,3,-0.02400000000000002,-43,41,-49,-96,-36,52,6,3,0
UCLA,UNC Asheville,2,15,-13,0.06699999999999995,23.849999999999998,13.01,139,-173,60,136,355,-0.014999999999999958,-47,-56,-0.039000000000000035,-86,-156,0.03700000000000003,123,88,92,89,2,-125,31,-13,1
Purdue,FDU,1,16,-15,0.261,27.21,18.14,-320,-548,-90,-161,-376,0.0050000000000000044,-63,-133,-0.022999999999999965,65,94,-0.008000000000000007,3,83,-3,-129,55,-37,-217,-15,0
