teamA,teamB,seedA,seedB,Seed_diff,W-L%_diff,SRS_diff,SOS_diff,Tm._diff,Opp._diff,MP_diff,FG_diff,FGA_diff,FG%_diff,3P_diff,3PA_diff,3P%_diff,FT_diff,FTA_diff,FT%_diff,ORB_diff,TRB_diff,AST_diff,STL_diff,BLK_diff,TOV_diff,PF_diff,seed_diff,winner
Memphis,FAU,8,9,-1,-0.15400000000000003,0.5800000000000001,4.6000000000000005,-257,-35,-155,-80,-230,0.012999999999999956,-160,-415,-0.013000000000000012,63,59,0.028000000000000025,-61,-263,-16,49,58,7,24,-1,0
Duke,Oral Roberts,5,12,-7,-0.10699999999999998,7.279999999999999,10.280000000000001,-323,-168,45,-122,-159,-0.021999999999999964,-130,-296,-0.02999999999999997,51,72,-0.008000000000000007,119,104,12,-33,-25,103,96,-7,1
Tennessee,Louisiana,4,13,-9,-0.07100000000000006,16.57,8.49,-83,-278,80,-42,125,-0.04899999999999999,37,205,-0.046999999999999986,-36,-77,0.025999999999999912,87,141,112,53,28,16,19,-9,1
Providence,Kentucky,11,6,5,-0.01100000000000001,-1.8699999999999992,-1.5300000000000002,20,38,-25,-28,-70,0.0020000000000000018,5,17,-0.0010000000000000009,71,64,0.03600000000000003,-72,-82,-30,7,22,-13,-50,5,0
Kansas St.,Montana St.,3,14,-11,0.008000000000000007,13.61,10.91,154,173,55,82,207,-0.007999999999999952,42,110,0.007000000000000006,-52,-63,-0.006000000000000005,64,93,173,60,-4,83,3,-11,1
Michigan St.,USC,7,10,-3,-0.049000000000000044,1.1899999999999995,3.25,20,85,55,24,66,-0.0030000000000000027,38,22,0.04800000000000004,-64,-96,0.014000000000000012,-3,49,52,-67,-65,-40,-11,-3,1
Marquette,Vermont,2,15,-13,0.13,15.440000000000001,11.14,385,254,83,155,273,0.01200000000000001,30,96,-0.0050000000000000044,45,47,0.02100000000000002,97,81,159,130,10,68,78,-13,1
Texas A&M-CC,Alabama,16,1,15,-0.1519999999999999,-25.76,-16.67,-224,35,-100,-52,-162,0.009000000000000008,-98,-357,0.02899999999999997,-22,-99,0.06700000000000006,-59,-346,-19,72,-129,-64,-26,15,0
West Virginia,Maryland,9,8,1,-0.06999999999999995,1.3699999999999992,2.540000000000001,143,189,-40,20,28,0.0040000000000000036,15,-2,0.021999999999999964,88,109,0.01100000000000001,41,-23,44,36,-27,67,72,1,0
Col of Charleston,San Diego St.,12,5,7,0.06500000000000006,-7.41,-12.94,29,-122,-160,-27,-49,-0.0020000000000000018,77,273,-0.01699999999999996,6,-14,0.02200000000000002,46,-5,-26,-3,-42,-34,-44,7,0
Virginia,Furman,4,13,-9,-0.020000000000000018,8.39,8.88,-674,-567,-130,-223,-364,-0.02799999999999997,-120,-359,0.006000000000000005,-108,-114,-0.038000000000000034,-78,-198,-81,-13,27,-115,-133,-9,0
NC State,Creighton,11,6,5,0.027000000000000024,-5.329999999999998,-4.220000000000001,-185,-123,-125,-32,17,-0.01899999999999996,-38,-92,-0.007000000000000006,-83,-63,-0.061000000000000054,79,-125,-147,81,0,-109,106,5,0
UCSB,Baylor,14,3,11,0.09499999999999997,-14.0,-12.569999999999999,-109,-84,40,44,-82,0.04299999999999998,-129,-323,-0.018000000000000016,-68,-76,-0.017000000000000015,-112,-42,12,-1,5,-16,-28,11,0
Missouri,Utah St.,7,10,-3,-0.029000000000000026,-2.8200000000000003,0.08000000000000007,26,158,5,41,117,-0.007000000000000006,0,64,-0.027000000000000024,-56,-70,-0.0050000000000000044,10,-185,-27,182,-22,-36,42,-3,1
Arizona,Princeton,2,15,-13,0.08100000000000007,14.319999999999999,9.31,450,298,105,156,166,0.03899999999999998,23,-15,0.035999999999999976,115,166,-0.0040000000000000036,31,128,232,57,4,83,81,-13,0
Auburn,Houston,9,1,8,-0.274,-7.85,4.499999999999999,-296,176,-115,-135,-212,-0.019000000000000017,-63,-134,-0.025000000000000022,37,87,-0.03700000000000003,-78,-210,-65,-30,-10,44,37,8,0
Indiana,Miami FL,4,5,-1,-0.127,0.9599999999999991,2.040000000000001,-309,-257,-80,-64,-161,0.006000000000000005,-78,-211,0.0,-103,-75,-0.07300000000000006,-63,-35,-2,-67,62,-9,72,-1,0
Pittsburgh,Xavier,11,3,8,-0.06299999999999994,-5.440000000000001,-3.96,-291,-231,-45,-179,-175,-0.044999999999999984,51,200,-0.030000000000000027,16,-24,0.049000000000000044,-16,-95,-199,-51,27,-59,-8,8,0
Penn St.,Texas,10,2,8,-0.14100000000000001,-7.52,-1.4100000000000001,-290,-54,-30,-105,-178,-0.009999999999999953,111,205,0.040000000000000036,-191,-250,-0.009000000000000008,-139,-91,-106,-138,-57,-107,-91,8,0
Kansas,Arkansas,1,8,-7,0.16700000000000004,3.209999999999999,1.9700000000000006,49,4,5,41,79,0.0020000000000000018,72,152,0.033999999999999975,-105,-171,0.02200000000000002,-20,22,128,15,-43,-14,-97,-7,0
UConn,Saint Mary's,4,5,-1,0.02400000000000002,5.539999999999999,1.33,591,396,145,194,381,0.009000000000000008,90,253,-0.0020000000000000018,113,94,0.06700000000000006,136,298,248,6,68,130,113,-1,1
Gonzaga,TCU,3,6,-3,0.20899999999999996,3.379999999999999,-0.7400000000000002,553,320,80,223,154,0.068,82,101,0.069,25,43,-0.006000000000000005,-19,122,37,-13,-39,-19,35,-3,1
UCLA,Northwestern,2,7,-5,0.19099999999999995,8.43,-0.05000000000000071,440,111,110,232,277,0.05300000000000005,-32,-156,0.02799999999999997,8,32,-0.026000000000000023,68,133,104,43,9,44,24,-5,1
FAU,FDU,9,16,-7,0.32900000000000007,22.9,12.129999999999999,172,-197,75,39,14,0.014000000000000012,73,148,0.02100000000000002,21,58,-0.03300000000000003,-2,248,17,-43,26,35,-83,-7,1
Tennessee,Duke,4,5,-1,-0.05600000000000005,5.01,0.54,-45,-206,0,-28,25,-0.019000000000000017,31,109,-0.006000000000000005,-20,23,-0.05800000000000005,32,-10,75,93,-33,-1,47,-1,1
Kansas St.,Kentucky,3,6,-3,0.07499999999999996,1.0299999999999994,1.4000000000000004,210,210,95,32,38,0.007000000000000006,45,139,-0.003999999999999948,101,98,0.04200000000000004,-117,-92,99,70,-25,98,99,-3,1
Michigan St.,Marquette,7,2,5,-0.18800000000000006,-2.8200000000000003,3.24,-445,-221,-80,-177,-230,-0.033999999999999975,-70,-270,0.040000000000000036,-21,-60,0.041000000000000036,-10,67,-127,-170,-6,-16,-25,5,1
Maryland,Alabama,8,1,7,-0.20899999999999996,-8.610000000000001,-1.3000000000000007,-587,-304,-105,-161,-389,0.006000000000000005,-133,-383,-0.007000000000000006,-132,-188,0.007000000000000006,-142,-477,-157,-33,-58,-139,-131,7,0
San Diego St.,Furman,5,13,-8,0.04299999999999993,10.920000000000002,11.82,-136,-88,115,-30,122,-0.03899999999999998,-69,-210,0.0040000000000000036,-7,10,-0.019000000000000017,75,154,-96,24,36,55,30,-8,1
Creighton,Baylor,6,3,3,-0.027000000000000024,0.5299999999999976,-0.7399999999999984,209,142,125,134,207,0.01899999999999996,-4,24,-0.014000000000000012,-55,-106,0.039000000000000035,-85,214,98,-38,70,16,-104,3,1
Princeton,Missouri,15,7,8,0.0050000000000000044,-6.65,-7.859999999999999,-346,-412,-115,-121,-186,-0.01699999999999996,-53,-108,-0.01799999999999996,-51,-32,-0.04600000000000004,15,190,-128,-201,11,-5,-119,8,1
Miami FL,Houston,5,1,4,-0.10799999999999998,-8.219999999999999,2.05,155,535,5,48,2,0.021999999999999964,-6,-80,0.02799999999999997,65,41,0.051000000000000045,-90,-156,-9,-23,-67,41,-91,4,1
Xavier,Texas,3,2,1,-0.03300000000000003,-4.529999999999998,-1.2699999999999996,32,163,-50,26,-33,0.019000000000000017,0,-87,0.04300000000000004,-20,9,-0.038000000000000034,14,100,91,-63,-16,20,-70,1,0
Arkansas,UConn,6,4,4,-0.18400000000000005,-6.959999999999999,1.3599999999999994,-398,-55,-115,-121,-270,0.0020000000000000018,-174,-401,-0.04999999999999999,18,91,-0.06300000000000006,-134,-262,-222,57,-8,-45,2,2,0
UCLA,Gonzaga,2,3,-1,0.0,3.120000000000001,0.620000000000001,-444,-470,-5,-155,-37,-0.061,-52,-86,-0.030000000000000027,-82,-152,0.038000000000000034,35,-69,-64,42,15,-26,-40,-1,0
FAU,Tennessee,9,4,5,0.20300000000000007,-6.92,-5.680000000000001,488,463,125,176,229,0.03300000000000003,99,184,0.03699999999999998,37,41,0.01100000000000001,-39,137,-39,-45,-30,29,17,5,1
Michigan St.,Kansas St.,7,3,4,-0.10399999999999998,-1.5399999999999991,1.7699999999999996,-331,-206,-85,-82,-139,-0.009000000000000008,-6,-110,0.04999999999999999,-161,-223,0.01100000000000001,-48,-34,-114,-129,2,-128,-87,4,0
San Diego St.,Alabama,5,1,4,-0.017000000000000015,-7.380000000000001,-0.7300000000000004,-252,-51,60,-37,-63,-0.0040000000000000036,-95,-315,0.012999999999999956,-83,-111,-0.0030000000000000027,-58,-236,-51,38,-38,-60,-57,4,1
Creighton,Princeton,6,15,-9,-0.06999999999999995,13.069999999999999,10.770000000000001,412,339,195,147,258,0.013999999999999957,47,106,0.011999999999999955,71,38,0.07100000000000006,-19,121,151,29,46,44,-26,-9,1
Texas,Miami FL,2,5,-3,-0.02100000000000002,6.579999999999998,3.59,38,-83,50,25,84,-0.007000000000000006,-4,35,-0.02100000000000002,-8,22,-0.03600000000000003,-18,11,79,29,21,28,136,-3,0
Gonzaga,UConn,3,4,-1,0.04299999999999993,-3.960000000000001,-0.47000000000000064,123,214,-75,106,-51,0.056999999999999995,-74,-236,0.016000000000000014,-15,49,-0.06800000000000006,-124,-158,-82,23,-63,-106,-79,-1,0
Kansas St.,FAU,3,9,-6,-0.17500000000000004,1.8699999999999992,7.180000000000001,-293,-32,-105,-123,-243,-0.0050000000000000044,-117,-272,-0.022999999999999965,70,67,0.029000000000000026,-70,-272,49,37,0,38,31,-6,0
Creighton,San Diego St.,6,5,1,-0.17199999999999993,2.019999999999998,0.8800000000000008,53,56,-80,28,-87,0.030999999999999972,48,124,0.006000000000000005,-51,-123,0.061000000000000054,-120,-47,77,-77,1,-23,-148,1,0
FAU,San Diego St.,9,5,4,0.07600000000000007,-1.8900000000000006,-6.62,260,72,0,98,75,0.028000000000000025,104,246,0.018000000000000016,-40,-53,-0.0030000000000000027,-1,103,58,-10,-51,8,-21,4,0
Miami FL,UConn,5,4,1,-0.01100000000000001,-8.969999999999999,-1.67,-139,160,-75,-24,-128,0.01599999999999996,-75,-218,0.0050000000000000044,-16,-42,0.02300000000000002,-123,-249,-149,25,-75,-92,-165,1,0
UConn,San Diego St.,4,5,-1,-0.025999999999999912,7.139999999999999,-0.41000000000000014,289,26,-10,96,82,0.026000000000000023,82,195,0.015000000000000013,15,-18,0.039000000000000035,81,118,180,-17,39,51,58,-1,1
